时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
3.880,280.591,-983.400,310.649,-1192.200,500.000,500.000,100.591,0.003,渐进启摆,0
3.900,295.730,1587.600,321.064,1322.400,-500.000,-500.000,115.730,0.013,渐进启摆,0
3.920,330.095,802.800,356.265,1065.600,-500.000,-500.000,150.095,0.003,渐进启摆,0
3.940,313.132,-1651.200,343.828,-1522.800,500.000,500.000,133.132,0.016,渐进启摆,0
3.960,278.306,-911.400,308.057,-1030.800,500.000,500.000,98.306,0.002,渐进启摆,0
3.980,294.543,1556.400,319.329,1250.400,-500.000,-500.000,114.543,0.013,渐进启摆,0
4.000,329.788,999.000,353.518,1019.400,-500.000,-500.000,149.788,0.006,渐进启摆,0
4.019,314.714,-1634.400,340.840,-1561.800,500.000,500.000,134.714,0.016,渐进启摆,0
4.039,281.580,-730.800,306.606,-1021.800,500.000,500.000,101.580,0.000,渐进启摆,0
4.059,299.993,1718.400,320.032,1334.400,-500.000,-500.000,119.993,0.016,渐进启摆,0
4.079,334.973,772.200,355.430,1060.800,-500.000,-500.000,154.973,0.003,渐进启摆,0
4.099,317.791,-1753.800,343.521,-1471.800,500.000,500.000,137.791,0.018,渐进启摆,0
4.119,283.931,-799.800,309.946,-743.400,500.000,500.000,103.931,0.001,渐进启摆,0
4.140,302.344,1752.000,323.635,1557.600,-500.000,-500.000,122.344,0.017,渐进启摆,0
4.160,338.950,960.000,357.363,1001.400,-500.000,-500.000,158.950,0.006,渐进启摆,0
4.180,323.591,-1581.600,344.136,-1356.600,500.000,500.000,143.591,0.015,渐进启摆,0
4.200,289.556,-751.200,311.353,-847.800,500.000,500.000,109.556,0.001,渐进启摆,0
4.220,305.486,1633.200,324.822,1457.400,-500.000,-500.000,125.486,0.015,渐进启摆,0
4.240,340.708,934.800,358.000,958.800,-500.000,-500.000,160.708,0.005,渐进启摆,0
4.260,325.679,-1468.200,344.553,-1510.800,500.000,500.000,145.679,0.013,渐进启摆,0
4.280,292.698,-757.800,310.364,-1084.800,500.000,500.000,112.698,0.001,渐进启摆,0
4.300,308.738,1596.600,323.350,1450.200,-500.000,-500.000,128.738,0.014,渐进启摆,0
4.320,342.971,891.600,356.880,996.000,-500.000,-500.000,162.971,0.005,渐进启摆,0
4.340,327.986,-1458.000,341.719,-1559.400,500.000,500.000,147.986,0.013,渐进启摆,0
4.360,293.862,-964.200,307.112,-886.200,500.000,500.000,113.862,0.003,渐进启摆,0
4.380,307.595,1552.200,321.306,1345.200,-500.000,-500.000,127.595,0.013,渐进启摆,0
4.400,340.862,901.200,353.430,868.800,-500.000,-500.000,160.862,0.005,渐进启摆,0
