时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
4.339,273.010,1063.800,178.748,-1297.800,-264.000,336.000,93.010,0.003,0,能量启摆
4.360,288.765,59.400,159.763,6.600,-264.000,336.000,108.765,-0.003,0,能量启摆
4.379,279.954,-839.400,171.562,1081.200,-264.000,336.000,99.954,0.001,0,能量启摆
4.400,256.838,-1348.800,200.435,1695.000,192.000,-240.000,76.838,0.006,0,能量启摆
4.421,234.075,-391.800,229.768,560.400,192.000,-240.000,54.075,-0.006,0,能量启摆
4.441,235.701,439.200,226.824,-451.200,192.000,-240.000,55.701,-0.005,0,能量启摆
4.461,249.478,738.600,209.795,-1100.400,192.000,-240.000,69.478,-0.002,0,能量启摆
4.480,268.418,1033.800,186.218,-1305.600,192.000,-240.000,88.418,0.002,0,能量启摆
4.500,289.863,1134.600,159.785,-1359.000,-264.000,336.000,109.863,0.005,0,能量启摆
4.520,307.310,133.800,138.889,-163.800,-264.000,336.000,127.310,-0.002,0,能量启摆
4.540,299.553,-798.600,149.150,1057.800,-264.000,336.000,119.553,0.002,0,能量启摆
4.560,277.009,-1332.000,177.627,1663.800,-264.000,336.000,97.009,0.008,0,能量启摆
4.581,248.774,-1456.800,213.289,1879.800,192.000,-240.000,68.774,0.008,0,能量启摆
4.601,223.813,-441.000,246.731,826.800,192.000,-240.000,43.813,-0.006,0,能量启摆
4.621,226.296,426.600,244.644,-479.400,192.000,-240.000,46.296,-0.006,0,能量启摆
4.641,238.293,803.400,228.538,-1096.800,192.000,-240.000,58.293,-0.002,0,能量启摆
4.661,257.432,1080.600,204.983,-1251.600,192.000,-240.000,77.432,0.002,0,能量启摆
4.681,278.965,1134.600,178.308,-1399.200,-264.000,336.000,98.965,0.005,0,能量启摆
4.700,295.840,28.200,157.017,-160.800,-264.000,336.000,115.840,-0.002,0,能量启摆
4.720,287.271,-788.400,167.278,1087.200,-264.000,336.000,107.271,0.001,0,能量启摆
4.740,265.386,-1230.000,195.139,1618.200,192.000,-240.000,85.386,0.005,0,能量启摆
4.761,242.644,-477.600,224.561,606.000,192.000,-240.000,62.644,-0.005,0,能量启摆
4.780,244.929,399.600,222.803,-462.600,192.000,-240.000,64.929,-0.005,0,能量启摆
4.800,258.311,911.400,205.708,-1058.400,192.000,-240.000,78.311,0.000,0,能量启摆
4.821,278.042,1083.600,181.450,-1263.000,-264.000,336.000,98.042,0.004,0,能量启摆
4.840,294.895,100.800,160.466,-191.400,-264.000,336.000,114.895,-0.002,0,能量启摆
4.860,286.699,-822.600,171.057,1000.200,-264.000,336.000,106.699,0.001,0,能量启摆
