时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
4.300,2.021,-265.200,354.023,-360.600,350.000,350.000,177.979,增强启摆,0
4.320,351.760,327.000,343.213,282.600,-350.000,-350.000,171.760,增强启摆,0
4.340,3.230,-378.600,352.617,-395.400,350.000,350.000,176.770,增强启摆,0
4.360,352.046,210.600,341.829,237.600,-350.000,-350.000,172.046,增强启摆,0
4.380,3.494,-261.600,352.419,-358.800,350.000,350.000,176.506,增强启摆,0
4.400,353.716,358.800,343.125,351.000,-350.000,-350.000,173.716,增强启摆,0
4.420,4.658,-326.400,353.584,-349.800,350.000,350.000,175.342,增强启摆,0
4.440,354.067,348.000,343.477,271.200,-350.000,-350.000,174.067,增强启摆,0
4.460,5.054,-194.400,353.936,-378.600,350.000,350.000,174.946,增强启摆,0
4.480,353.892,236.400,343.301,280.200,-350.000,-350.000,173.892,增强启摆,0
4.500,3.538,-382.200,354.155,-247.800,350.000,350.000,176.462,增强启摆,0
4.520,352.441,308.400,344.817,316.800,-350.000,-350.000,172.441,增强启摆,0
4.539,3.296,-237.000,355.452,-322.200,350.000,350.000,176.704,增强启摆,0
4.559,353.716,359.400,345.015,323.400,-350.000,-350.000,173.716,增强启摆,0
4.580,4.614,-321.600,354.221,-442.800,350.000,350.000,175.386,增强启摆,0
4.600,354.177,373.200,342.180,252.000,-350.000,-350.000,174.177,增强启摆,0
4.620,5.010,-321.600,351.497,-396.000,350.000,350.000,174.990,增强启摆,0
4.639,353.958,249.600,340.093,228.600,-350.000,-350.000,173.958,增强启摆,0
4.659,3.560,-376.800,349.541,-412.800,350.000,350.000,176.440,增强启摆,0
4.679,352.485,299.400,338.335,303.600,-350.000,-350.000,172.485,增强启摆,0
4.699,3.340,-397.200,348.970,-230.400,350.000,350.000,176.660,增强启摆,0
4.719,353.628,367.200,337.632,208.200,-350.000,-350.000,173.628,增强启摆,0
4.740,4.834,-336.600,348.816,-216.000,350.000,350.000,175.166,增强启摆,0
4.760,353.650,392.400,337.434,216.000,-350.000,-350.000,173.650,增强启摆,0
4.780,5.449,-347.400,348.904,-196.800,350.000,350.000,174.551,增强启摆,0
4.799,353.562,274.200,338.884,250.200,-350.000,-350.000,173.562,增强启摆,0
4.819,3.933,-406.800,350.442,-275.400,350.000,350.000,176.067,增强启摆,0
4.840,352.046,339.600,339.653,336.600,-350.000,-350.000,172.046,增强启摆,0
4.859,3.582,-412.200,350.815,-317.400,350.000,350.000,176.418,增强启摆,0
4.879,351.628,343.800,341.082,347.400,-350.000,-350.000,171.628,增强启摆,0
4.899,2.087,-430.200,351.980,-375.000,350.000,350.000,177.913,增强启摆,0
4.919,350.332,312.000,341.323,252.600,-350.000,-350.000,170.332,增强启摆,0
4.940,1.780,-421.800,350.508,-523.200,350.000,350.000,178.220,增强启摆,0
4.959,348.926,163.800,338.708,216.000,-350.000,-350.000,168.926,增强启摆,0
4.979,358.000,-377.400,347.585,-346.800,350.000,350.000,178.000,增强启摆,0
4.999,345.696,138.000,336.665,183.600,-350.000,-350.000,165.696,增强启摆,0
5.019,356.111,-253.200,345.630,-239.400,350.000,350.000,176.111,增强启摆,0
5.039,344.070,196.200,335.830,255.600,-350.000,-350.000,164.070,增强启摆,0
5.059,355.671,-199.200,344.927,-228.600,350.000,350.000,175.671,增强启摆,0
5.079,345.278,247.200,336.533,303.600,-350.000,-350.000,165.278,增强启摆,0
5.099,357.341,-228.000,346.531,-155.400,350.000,350.000,177.341,增强启摆,0
5.119,346.289,223.800,337.258,216.600,-350.000,-350.000,166.289,增强启摆,0
5.139,358.044,-264.600,347.322,-171.600,350.000,350.000,178.044,增强启摆,0
5.159,348.354,283.800,339.456,321.600,-350.000,-350.000,168.354,增强启摆,0
5.179,359.451,-347.400,349.387,-220.800,350.000,350.000,179.451,增强启摆,0
5.199,349.387,277.800,340.972,210.600,-350.000,-350.000,169.387,增强启摆,0
5.219,359.758,-354.600,349.805,-251.400,350.000,350.000,179.758,增强启摆,0
5.239,351.299,292.200,343.103,264.600,-350.000,-350.000,171.299,增强启摆,0
5.259,0.989,-376.200,351.233,-352.800,350.000,350.000,179.011,增强启摆,0
5.279,351.760,276.000,343.521,212.400,-350.000,-350.000,171.760,增强启摆,0
5.299,1.230,-384.000,351.694,-336.000,350.000,350.000,178.770,增强启摆,0
5.319,351.650,285.000,343.059,212.400,-350.000,-350.000,171.650,增强启摆,0
5.339,1.296,-291.600,351.760,-322.200,350.000,350.000,178.704,增强启摆,0
5.359,353.079,328.800,344.531,294.000,-350.000,-350.000,173.079,增强启摆,0
5.379,2.483,-359.400,353.035,-320.400,350.000,350.000,177.517,增强启摆,0
5.399,353.320,324.000,344.663,244.200,-350.000,-350.000,173.320,增强启摆,0
5.419,2.812,-287.400,353.408,-309.600,350.000,350.000,177.188,增强启摆,0
5.439,354.529,361.200,346.003,330.000,-350.000,-350.000,174.529,增强启摆,0
5.459,3.933,-341.400,354.617,-343.200,350.000,350.000,176.067,增强启摆,0
5.479,355.056,366.000,346.091,274.800,-350.000,-350.000,175.056,增强启摆,0
5.500,4.043,-332.400,354.771,-291.600,350.000,350.000,175.957,增强启摆,0
5.519,355.276,267.000,346.157,283.200,-350.000,-350.000,175.276,增强启摆,0
5.539,2.769,-345.000,353.606,-363.600,350.000,350.000,177.231,增强启摆,0
5.559,354.771,312.000,344.993,282.600,-350.000,-350.000,174.771,增强启摆,0
5.580,2.483,-333.000,353.101,-276.000,350.000,350.000,177.517,增强启摆,0
5.599,356.265,336.000,344.685,230.400,-350.000,-350.000,176.265,增强启摆,0
5.619,3.560,-316.200,353.210,-271.800,350.000,350.000,176.440,增强启摆,0
5.639,356.221,325.800,346.047,304.800,-350.000,-350.000,176.221,增强启摆,0
5.659,3.647,-315.600,354.595,-330.600,350.000,350.000,176.353,增强启摆,0
5.679,356.023,244.200,346.223,255.600,-350.000,-350.000,176.023,增强启摆,0
5.699,2.373,-335.400,354.946,-270.600,350.000,350.000,177.627,增强启摆,0
5.719,354.924,298.200,347.388,349.800,-350.000,-350.000,174.924,增强启摆,0
5.739,2.000,-333.000,356.221,-295.200,350.000,350.000,178.000,增强启摆,0
5.759,354.463,204.000,347.629,381.000,-350.000,-350.000,174.463,增强启摆,0
5.780,0.857,-349.200,356.550,-235.200,350.000,350.000,179.143,增强启摆,0
5.799,353.210,241.200,347.454,322.200,-350.000,-350.000,173.210,增强启摆,0
5.819,0.857,-346.200,356.836,-244.200,350.000,350.000,179.143,增强启摆,0
5.839,352.925,236.400,348.728,412.800,-350.000,-350.000,172.925,增强启摆,0
5.859,0.879,-285.600,358.176,-283.800,350.000,350.000,179.121,增强启摆,0
5.879,354.485,278.400,348.772,313.800,-350.000,-350.000,174.485,增强启摆,0
5.899,2.219,-341.400,358.572,-210.000,350.000,350.000,177.781,增强启摆,0
5.920,354.441,279.600,348.420,340.800,-350.000,-350.000,174.441,增强启摆,0
5.939,2.241,-286.800,358.945,-243.000,350.000,350.000,177.759,增强启摆,0
5.959,355.562,336.000,349.497,472.800,-350.000,-350.000,175.562,增强启摆,0
5.979,3.669,-328.800,0.527,-214.800,350.000,350.000,176.331,增强启摆,0
5.999,355.408,315.600,349.695,342.600,-350.000,-350.000,175.408,增强启摆,0
6.019,3.977,-327.000,0.923,-214.200,350.000,350.000,176.023,增强启摆,0
6.039,355.012,245.400,349.541,333.600,-350.000,-350.000,175.012,增强启摆,0
6.059,2.725,-356.400,359.429,-364.800,350.000,350.000,177.275,增强启摆,0
6.079,353.760,297.600,348.574,371.400,-350.000,-350.000,173.760,增强启摆,0
6.099,2.527,-360.600,358.967,-264.000,350.000,350.000,177.473,增强启摆,0
6.119,354.880,354.000,349.651,472.200,-350.000,-350.000,174.880,增强启摆,0
6.140,3.516,-348.000,0.154,-315.600,350.000,350.000,176.484,增强启摆,0
6.159,355.210,354.600,348.596,337.200,-350.000,-350.000,175.210,增强启摆,0
6.179,3.889,-340.800,357.671,-288.600,350.000,350.000,176.111,增强启摆,0
6.199,355.056,269.400,347.146,343.200,-350.000,-350.000,175.056,增强启摆,0
6.219,2.549,-340.800,357.166,-276.600,350.000,350.000,177.451,增强启摆,0
6.239,353.936,316.800,348.311,445.800,-350.000,-350.000,173.936,增强启摆,0
6.259,2.439,-360.600,358.572,-322.800,350.000,350.000,177.561,增强启摆,0
6.279,353.232,299.400,348.596,354.600,-350.000,-350.000,173.232,增强启摆,0
6.299,1.296,-376.200,358.879,-239.400,350.000,350.000,178.704,增强启摆,0
6.319,351.848,255.600,349.739,424.200,-350.000,-350.000,171.848,增强启摆,0
6.340,1.055,-381.600,359.714,-279.000,350.000,350.000,178.945,增强启摆,0
6.359,351.431,268.800,348.772,304.200,-350.000,-350.000,171.431,增强启摆,0
6.379,1.340,-268.200,357.122,-249.600,350.000,350.000,178.660,增强启摆,0
6.400,352.815,318.000,347.366,315.600,-350.000,-350.000,172.815,增强启摆,0
6.419,2.373,-369.600,356.924,-242.400,350.000,350.000,177.627,增强启摆,0
6.439,352.991,315.600,348.596,408.600,-350.000,-350.000,172.991,增强启摆,0
6.459,2.922,-388.800,358.044,-284.400,350.000,350.000,177.078,增强启摆,0
6.479,352.925,184.800,348.860,326.400,-350.000,-350.000,172.925,增强启摆,0
