时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
4.960,358.264,-128.400,359.846,0.000,180.000,-0.000,178.264,表3-1四状态,0
4.980,356.528,133.800,359.846,0.000,-180.000,-0.000,176.528,表3-1四状态,0
5.000,358.044,-130.800,359.846,0.000,180.000,-0.000,178.044,表3-1四状态,0
5.020,356.243,99.600,359.846,0.000,-180.000,-0.000,176.243,表3-1四状态,0
5.040,358.044,-135.600,359.846,-5.400,180.000,1.620,178.044,表3-1四状态,0
5.060,356.550,122.400,359.846,0.000,-180.000,-0.000,176.550,表3-1四状态,0
5.089,356.616,-238.200,359.846,0.000,180.000,-0.000,176.616,表3-1四状态,0
5.104,351.914,-251.400,359.846,0.000,180.000,-0.000,171.914,表3-1四状态,0
5.120,353.167,176.400,359.846,-4.800,-180.000,1.440,173.167,表3-1四状态,0
5.140,358.000,-96.000,359.868,0.000,180.000,-0.000,178.000,表3-1四状态,0
5.160,356.616,124.800,359.868,0.000,-180.000,-0.000,176.616,表3-1四状态,0
5.180,358.594,-129.000,359.868,0.000,180.000,-0.000,178.594,表3-1四状态,0
5.200,356.792,134.400,359.868,0.000,-180.000,-0.000,176.792,表3-1四状态,0
5.220,358.770,-124.200,359.868,0.000,180.000,-0.000,178.770,表3-1四状态,0
5.240,356.836,124.800,359.868,0.000,-180.000,-0.000,176.836,表3-1四状态,0
5.260,358.440,-124.800,359.868,0.000,180.000,-0.000,178.440,表3-1四状态,0
5.280,356.572,120.000,359.868,0.000,-180.000,-0.000,176.572,表3-1四状态,0
5.300,358.418,-124.200,359.868,4.800,180.000,-1.440,178.418,表3-1四状态,0
5.320,356.506,129.000,359.868,4.800,-180.000,-1.440,176.506,表3-1四状态,0
5.340,358.462,-139.800,359.868,0.000,180.000,-0.000,178.462,表3-1四状态,0
5.360,356.902,113.400,359.890,0.000,-180.000,-0.000,176.902,表3-1四状态,0
5.380,358.682,-129.000,359.890,0.000,180.000,-0.000,178.682,表3-1四状态,0
5.400,356.946,124.200,359.890,0.000,-180.000,-0.000,176.946,表3-1四状态,0
5.420,358.792,-127.800,359.912,0.000,180.000,-0.000,178.792,表3-1四状态,0
5.440,357.341,118.200,359.912,0.000,-180.000,-0.000,177.341,表3-1四状态,0
5.460,359.033,-123.600,359.912,-4.800,180.000,1.440,179.033,表3-1四状态,0
5.480,357.363,126.000,359.934,0.000,-180.000,-0.000,177.363,表3-1四状态,0
5.500,359.143,-129.000,359.934,0.000,180.000,-0.000,179.143,表3-1四状态,0
5.520,357.759,125.400,359.934,-4.800,-180.000,1.440,177.759,表3-1四状态,0
5.540,359.385,-122.400,359.934,0.000,180.000,-0.000,179.385,表3-1四状态,0
5.560,357.759,118.200,359.912,0.000,-180.000,-0.000,177.759,表3-1四状态,0
5.580,359.473,-123.600,359.934,0.000,180.000,-0.000,179.473,表3-1四状态,0
5.600,357.737,129.600,359.934,0.000,-180.000,-0.000,177.737,表3-1四状态,0
5.620,359.539,-130.200,359.934,0.000,180.000,-0.000,179.539,表3-1四状态,0
