时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
2.199,271.406,1111.800,28.674,-1371.000,-264.000,336.000,91.406,0.004,0,能量启摆
2.219,288.215,115.200,6.262,-316.200,-264.000,336.000,108.215,-0.003,0,能量启摆
2.239,279.910,-726.000,17.183,991.800,-264.000,336.000,99.910,-0.000,0,能量启摆
2.259,258.069,-1267.200,45.286,1585.800,180.000,-240.000,78.069,0.005,0,能量启摆
2.279,234.712,-473.400,74.883,671.400,180.000,-240.000,54.712,-0.005,0,能量启摆
2.299,236.777,388.800,72.576,-370.200,180.000,-240.000,56.777,-0.005,0,能量启摆
2.319,247.302,694.800,56.228,-1067.400,180.000,-240.000,67.302,-0.003,0,能量启摆
2.340,264.507,907.200,32.124,-1272.000,180.000,-240.000,84.507,0.001,0,能量启摆
2.360,284.612,1088.400,5.186,-1422.000,-264.000,336.000,104.612,0.004,0,能量启摆
2.380,301.355,199.800,343.235,-147.000,-264.000,336.000,121.355,-0.002,0,能量启摆
2.400,294.060,-721.200,354.836,1003.800,-264.000,336.000,114.060,0.001,0,能量启摆
2.420,271.758,-1300.200,21.687,1565.400,-264.000,336.000,91.758,0.007,0,能量启摆
2.440,243.743,-1486.200,57.019,1893.600,180.000,-240.000,63.743,0.008,0,能量启摆
2.459,218.079,-573.600,90.461,862.800,180.000,-240.000,38.079,-0.005,0,能量启摆
2.479,218.540,310.200,89.978,-316.800,180.000,-240.000,38.540,-0.007,0,能量启摆
2.499,229.197,660.600,75.520,-1029.600,180.000,-240.000,49.197,-0.004,0,能量启摆
2.519,245.984,867.600,52.031,-1276.200,180.000,-240.000,65.984,-0.001,0,能量启摆
2.539,265.627,1028.400,25.137,-1362.600,180.000,-240.000,85.627,0.002,0,能量启摆
2.559,286.853,1105.800,357.253,-1388.400,-264.000,336.000,106.853,0.005,0,能量启摆
2.579,303.398,164.400,334.358,-333.000,-264.000,336.000,123.398,-0.002,0,能量启摆
2.599,295.269,-717.000,344.268,948.000,-264.000,336.000,115.269,0.001,0,能量启摆
