时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
3.859,357.737,89.400,342.554,76.800,-220.000,-220.000,177.737,0.000,文献能量启摆,0
3.879,359.802,-88.800,344.070,-116.400,220.000,220.000,179.802,0.000,文献能量启摆,0
3.899,357.803,99.600,341.653,72.000,-220.000,-220.000,177.803,0.000,文献能量启摆,0
3.919,359.407,-93.000,343.345,-87.600,220.000,220.000,179.407,0.000,文献能量启摆,0
3.939,357.209,88.800,341.060,82.800,-220.000,-220.000,177.209,0.000,文献能量启摆,0
3.960,359.209,-96.000,342.334,-105.000,220.000,220.000,179.209,0.000,文献能量启摆,0
3.979,356.946,100.200,339.719,68.400,-220.000,-220.000,176.946,0.000,文献能量启摆,0
3.999,358.682,-98.400,341.060,-87.000,220.000,220.000,178.682,0.000,文献能量启摆,0
4.019,356.199,89.400,338.577,54.000,-220.000,-220.000,176.199,0.000,文献能量启摆,0
4.039,358.440,-98.400,339.609,-87.000,220.000,220.000,178.440,0.000,文献能量启摆,0
4.059,355.715,109.800,337.720,62.400,-220.000,-220.000,175.715,0.000,文献能量启摆,0
4.079,358.044,-104.400,338.577,-111.600,220.000,220.000,178.044,0.000,文献能量启摆,0
4.100,354.771,106.200,336.577,46.200,-220.000,-220.000,174.771,0.000,文献能量启摆,0
4.119,357.781,-103.800,337.456,-96.600,220.000,220.000,177.781,0.000,文献能量启摆,0
4.139,354.595,111.600,335.896,57.600,-220.000,-220.000,174.595,0.000,文献能量启摆,0
4.159,357.078,-102.600,337.104,-99.000,220.000,220.000,177.078,0.000,文献能量启摆,0
4.179,353.958,105.600,335.435,46.800,-220.000,-220.000,173.958,0.000,文献能量启摆,0
4.199,356.704,-92.400,336.863,-93.000,220.000,220.000,176.704,0.000,文献能量启摆,0
4.219,353.738,106.200,335.259,41.400,-220.000,-220.000,173.738,0.000,文献能量启摆,0
4.239,356.067,-109.800,336.511,-97.800,220.000,220.000,176.067,0.000,文献能量启摆,0
4.259,352.947,97.800,334.973,46.800,-220.000,-220.000,172.947,0.000,文献能量启摆,0
4.279,355.781,-87.000,336.555,-88.800,220.000,220.000,175.781,0.000,文献能量启摆,0
4.299,352.683,100.800,334.929,46.800,-220.000,-220.000,172.683,0.000,文献能量启摆,0
4.319,355.759,-93.000,336.907,-85.800,220.000,220.000,175.759,0.000,文献能量启摆,0
4.339,353.123,107.400,335.698,58.200,-220.000,-220.000,173.123,0.000,文献能量启摆,0
4.359,356.550,-85.200,338.005,-39.000,220.000,220.000,176.550,0.000,文献能量启摆,0
4.379,353.518,107.400,336.929,57.000,-220.000,-220.000,173.518,0.000,文献能量启摆,0
4.399,356.792,-86.400,338.972,-44.400,220.000,220.000,176.792,0.000,文献能量启摆,0
4.419,353.628,105.000,337.983,56.400,-220.000,-220.000,173.628,0.000,文献能量启摆,0
4.440,356.221,-87.600,339.675,-44.400,220.000,220.000,176.221,0.000,文献能量启摆,0
4.459,352.881,96.600,338.796,52.800,-220.000,-220.000,172.881,0.000,文献能量启摆,0
4.479,355.825,-97.200,339.961,-48.600,220.000,220.000,175.825,0.000,文献能量启摆,0
4.499,352.683,99.600,338.774,48.000,-220.000,-220.000,172.683,0.000,文献能量启摆,0
4.519,355.144,-98.400,339.961,-50.400,220.000,220.000,175.144,0.000,文献能量启摆,0
4.540,351.958,100.800,339.060,47.400,-220.000,-220.000,171.958,0.000,文献能量启摆,0
4.560,354.880,-85.200,340.752,-57.600,220.000,220.000,174.880,0.000,文献能量启摆,0
4.580,351.760,100.200,340.093,74.400,-220.000,-220.000,171.760,0.000,文献能量启摆,0
4.599,354.836,-97.800,341.851,-57.000,220.000,220.000,174.836,0.000,文献能量启摆,0
4.619,352.288,96.000,340.928,58.200,-220.000,-220.000,172.288,0.000,文献能量启摆,0
4.639,355.518,-87.600,342.048,-67.800,220.000,220.000,175.518,0.000,文献能量启摆,0
